idx,Date,Temperature,Stopped (LGR S/N: 20782708),End Of File (LGR S/N: 20782708)
1,11/22/2022 18:00,24.17,,
2,11/22/2022 18:00,24.18,,
3,11/22/2022 18:00,24.15,,
4,11/22/2022 18:00,24.19,,
5,11/22/2022 18:00,24.13,,
6,11/22/2022 18:00,24.2,,
7,11/22/2022 18:01,24.13,,
8,11/22/2022 18:01,24.2,,
9,11/22/2022 18:01,24.21,,
10,11/22/2022 18:01,24.2,,
11,11/22/2022 18:01,24.17,,
12,11/22/2022 18:01,24.23,,
13,11/22/2022 18:02,24.16,,
14,11/22/2022 18:02,24.09,,
15,11/22/2022 18:02,24.03,,
16,11/22/2022 18:02,24.1,,
17,11/22/2022 18:02,24.05,,
18,11/22/2022 18:02,24.06,,
19,11/22/2022 18:03,24.05,,
20,11/22/2022 18:03,24.02,,
21,11/22/2022 18:03,24.06,,
22,11/22/2022 18:03,24.05,,
23,11/22/2022 18:03,24.09,,
24,11/22/2022 18:03,24.04,,
25,11/22/2022 18:04,24.07,,
26,11/22/2022 18:04,24.04,,
27,11/22/2022 18:04,24.08,,
28,11/22/2022 18:04,24.05,,
29,11/22/2022 18:04,24.04,,
30,11/22/2022 18:04,24.09,,
31,11/22/2022 18:05,24.1,,
32,11/22/2022 18:05,24.11,,
33,11/22/2022 18:05,24.05,,
34,11/22/2022 18:05,24.1,,
35,11/22/2022 18:05,24.12,,
36,11/22/2022 18:05,24.11,,
37,11/22/2022 18:06,24.09,,
38,11/22/2022 18:06,24.03,,
39,11/22/2022 18:06,24.09,,
40,11/22/2022 18:06,24.05,,
41,11/22/2022 18:06,24.18,,
42,11/22/2022 18:06,24.25,,
43,11/22/2022 18:07,24.27,,
44,11/22/2022 18:07,24.2,,
45,11/22/2022 18:07,24.13,,
46,11/22/2022 18:07,24.13,,
47,11/22/2022 18:07,24.12,,
48,11/22/2022 18:07,24.17,,
49,11/22/2022 18:08,24.21,,
50,11/22/2022 18:08,24.18,,
51,11/22/2022 18:08,24.17,,
52,11/22/2022 18:08,24.15,,
53,11/22/2022 18:08,24.21,,
54,11/22/2022 18:08,24.18,,
55,11/22/2022 18:09,24.2,,
56,11/22/2022 18:09,24.16,,
57,11/22/2022 18:09,24.19,,
58,11/22/2022 18:09,24.18,,
59,11/22/2022 18:09,24.2,,
60,11/22/2022 18:09,24.18,,
61,11/22/2022 18:10,24.11,,
62,11/22/2022 18:10,24.21,,
63,11/22/2022 18:10,24.2,,
64,11/22/2022 18:10,24.21,,
65,11/22/2022 18:10,24.28,,
66,11/22/2022 18:10,24.21,,
67,11/22/2022 18:11,24.18,,
68,11/22/2022 18:11,24.19,,
69,11/22/2022 18:11,24.21,,
70,11/22/2022 18:11,24.19,,
71,11/22/2022 18:11,24.17,,
72,11/22/2022 18:11,24.17,,
73,11/22/2022 18:12,24.13,,
74,11/22/2022 18:12,24.13,,
75,11/22/2022 18:12,24.14,,
76,11/22/2022 18:12,24.16,,
77,11/22/2022 18:12,24.14,,
78,11/22/2022 18:12,24.21,,
79,11/22/2022 18:13,24.18,,
80,11/22/2022 18:13,24.12,,
81,11/22/2022 18:13,24.23,,
82,11/22/2022 18:13,24.23,,
83,11/22/2022 18:13,24.19,,
84,11/22/2022 18:13,24.22,,
85,11/22/2022 18:14,24.22,,
86,11/22/2022 18:14,24.11,,
87,11/22/2022 18:14,24.22,,
88,11/22/2022 18:14,24.14,,
89,11/22/2022 18:14,24.14,,
90,11/22/2022 18:14,24.17,,
91,11/22/2022 18:15,24.14,,
92,11/22/2022 18:15,24.17,,
93,11/22/2022 18:15,24.18,,
94,11/22/2022 18:15,24.15,,
95,11/22/2022 18:15,24.17,,
96,11/22/2022 18:15,24.21,,
97,11/22/2022 18:16,24.23,,
98,11/22/2022 18:16,24.11,,
99,11/22/2022 18:16,24.14,,
100,11/22/2022 18:16,24.15,,
101,11/22/2022 18:16,24.08,,
102,11/22/2022 18:16,24.18,,
103,11/22/2022 18:17,24.11,,
104,11/22/2022 18:17,24.12,,
105,11/22/2022 18:17,24.07,,
106,11/22/2022 18:17,24.14,,
107,11/22/2022 18:17,24.12,,
108,11/22/2022 18:17,24.14,,
109,11/22/2022 18:18,24.11,,
110,11/22/2022 18:18,24.09,,
111,11/22/2022 18:18,24.15,,
112,11/22/2022 18:18,24.11,,
113,11/22/2022 18:18,24.14,,
114,11/22/2022 18:18,24.18,,
115,11/22/2022 18:19,24.13,,
116,11/22/2022 18:19,24.25,,
117,11/22/2022 18:19,24.18,,
118,11/22/2022 18:19,24.12,,
119,11/22/2022 18:19,24.16,,
120,11/22/2022 18:19,24.21,,
121,11/22/2022 18:20,24.18,,
122,11/22/2022 18:20,24.1,,
123,11/22/2022 18:20,24.12,,
124,11/22/2022 18:20,24.27,,
125,11/22/2022 18:20,24.28,,
126,11/22/2022 18:20,24.27,,
127,11/22/2022 18:21,24.25,,
128,11/22/2022 18:21,24.17,,
129,11/22/2022 18:21,24.2,,
130,11/22/2022 18:21,24.1,,
131,11/22/2022 18:21,24.12,,
132,11/22/2022 18:21,24.17,,
133,11/22/2022 18:22,24.17,,
134,11/22/2022 18:22,24.17,,
135,11/22/2022 18:22,24.21,,
136,11/22/2022 18:22,24.16,,
137,11/22/2022 18:22,24.17,,
138,11/22/2022 18:22,24.18,,
139,11/22/2022 18:23,24.12,,
140,11/22/2022 18:23,24.16,,
141,11/22/2022 18:23,24.1,,
142,11/22/2022 18:23,24.16,,
143,11/22/2022 18:23,24.16,,
144,11/22/2022 18:23,24.12,,
145,11/22/2022 18:24,24.11,,
146,11/22/2022 18:24,24.14,,
147,11/22/2022 18:24,24.1,,
148,11/22/2022 18:24,24.09,,
149,11/22/2022 18:24,24.1,,
150,11/22/2022 18:24,24.12,,
151,11/22/2022 18:25,24.11,,
152,11/22/2022 18:25,24.1,,
153,11/22/2022 18:25,24.05,,
154,11/22/2022 18:25,24.13,,
155,11/22/2022 18:25,24.11,,
156,11/22/2022 18:25,24.13,,
157,11/22/2022 18:26,24.08,,
158,11/22/2022 18:26,24.03,,
159,11/22/2022 18:26,24.07,,
160,11/22/2022 18:26,24.08,,
161,11/22/2022 18:26,24.09,,
162,11/22/2022 18:26,24.07,,
163,11/22/2022 18:27,24.03,,
164,11/22/2022 18:27,24,,
165,11/22/2022 18:27,24.07,,
166,11/22/2022 18:27,24.07,,
167,11/22/2022 18:27,24.14,,
168,11/22/2022 18:27,24.08,,
169,11/22/2022 18:28,24.1,,
170,11/22/2022 18:28,24.06,,
171,11/22/2022 18:28,24.09,,
172,11/22/2022 18:28,24.08,,
173,11/22/2022 18:28,24.08,,
174,11/22/2022 18:28,24.08,,
175,11/22/2022 18:29,24.14,,
176,11/22/2022 18:29,24.13,,
177,11/22/2022 18:29,24.07,,
178,11/22/2022 18:29,24.08,,
179,11/22/2022 18:29,24.09,,
180,11/22/2022 18:29,24.1,,
181,11/22/2022 18:30,24.08,,
182,11/22/2022 18:30,24.11,,
183,11/22/2022 18:30,24.11,,
184,11/22/2022 18:30,24.11,,
185,11/22/2022 18:30,24.11,,
186,11/22/2022 18:30,24.1,,
187,11/22/2022 18:31,24.04,,
188,11/22/2022 18:31,24,,
189,11/22/2022 18:31,24.07,,
190,11/22/2022 18:31,24.05,,
191,11/22/2022 18:31,24.12,,
192,11/22/2022 18:31,24.07,,
193,11/22/2022 18:32,23.97,,
194,11/22/2022 18:32,23.98,,
195,11/22/2022 18:32,23.94,,
196,11/22/2022 18:32,23.94,,
197,11/22/2022 18:32,23.95,,
198,11/22/2022 18:32,24,,
